,node_id,lon,lat,node_type
0,0,12.0856102005056,51.0053997797741,producer
1,1,12.1406966511578,51.1773061655202,split
2,2,12.2866874214735,51.080855050392,consumer
3,3,12.2020098590675,51,consumer
4,4,12.0351935191409,51.4729394844951,split
5,5,12.0149067534391,51.3375543632386,consumer
6,6,11.7138360338781,51.5792902489435,split
7,7,11.5500478661088,51.5675432603334,consumer
8,8,11.6739976667203,51.4191847415509,consumer
9,9,11.5690857058551,51.458409251066,consumer
10,10,12.2689922714874,51.7064159139175,consumer
11,11,12.4329752641306,51.700982819565,consumer
12,12,12.3535424427237,52.0160906925066,consumer
13,13,12.4015974158254,52.3311106127317,split
14,14,12.6592617477364,52.4445855568653,split
15,15,12.7882423577706,52.5701701582133,consumer
16,16,12.8375224266695,52.45193989831,consumer
17,17,12.5378645332127,52.3379226041572,consumer
18,18,12.1579485462006,52.5380852925634,split
19,19,12.2690240497619,52.6619760457663,consumer
20,20,12.164919875511,52.7071411876643,consumer
21,21,11.839677661394,52.5782744968934,split
22,22,11.7471804718751,52.7249330235161,consumer
23,23,11.8568305768226,52.7521648195782,consumer
24,24,11.5653448463985,52.4269573361622,split
25,25,11.4761299760062,52.5760151401746,consumer
26,26,11.3999553022463,52.491753772904,consumer
27,27,11.4523196448655,52.1430122025389,split
28,28,11.2892820323759,52.0870400177545,consumer
29,29,11.285272042601,52.2029152733653,consumer
30,30,11.5621178649559,51.8583248191202,producer
31,31,12.3819269720828,51.5937059704184,producer
32,32,24.921,60.1644,producer
