,node_id,lon,lat,node_type
0,0,12.08561020050558,51.00539977977407,producer
1,1,12.14069665115779,51.17730616552022,split
2,2,12.286687421473484,51.08085505039198,consumer
3,3,12.202009859067452,51.0,consumer
4,4,12.035193519140854,51.47293948449512,split
5,5,12.014906753439137,51.33755436323856,consumer
6,6,11.713836033878065,51.5792902489435,split
7,7,11.550047866108788,51.56754326033335,consumer
8,8,11.673997666720318,51.41918474155091,consumer
9,9,11.569085705855061,51.45840925106596,consumer
10,10,12.26899227148739,51.70641591391751,consumer
11,11,12.43297526413055,51.700982819565034,consumer
12,12,12.353542442723745,52.016090692506616,consumer
13,13,12.401597415825412,52.33111061273168,split
14,14,12.659261747736425,52.444585556865256,split
15,15,12.788242357770626,52.57017015821328,consumer
16,16,12.837522426669462,52.451939898309995,consumer
17,17,12.53786453321271,52.33792260415718,consumer
18,18,12.157948546200624,52.53808529256335,split
19,19,12.269024049761905,52.6619760457663,consumer
20,20,12.164919875511023,52.70714118766428,consumer
21,21,11.839677661393951,52.57827449689339,split
22,22,11.7471804718751,52.72493302351612,consumer
23,23,11.856830576822595,52.752164819578226,consumer
24,24,11.565344846398496,52.4269573361622,split
25,25,11.47612997600623,52.57601514017462,consumer
26,26,11.39995530224629,52.49175377290403,consumer
27,27,11.452319644865485,52.143012202538934,split
28,28,11.289282032375858,52.08704001775446,consumer
29,29,11.285272042600972,52.20291527336525,consumer
30,30,11.56211786495586,51.8583248191202,producer
31,31,12.381926972082761,51.593705970418405,producer
